continent,region,country,year,criminality,criminal_markets,human_trafficking,human_smuggling,arms_trafficking,flora_crimes,fauna_crimes,non_renewable_resource_crimes,heroin_trade,cocaine_trade,cannabis_trade,synthetic_drug_trade,criminal_actors,mafia_groups,criminal_networks,state_embedded_actors,foreign_actors,resilience,political_leadership_governance,government_transparency_accountability,international_cooperation,national_policies_laws,judicial_system_detention,law_enforcement,territorial_integrity,anti_money_laundering,economic_regulatory_capacity,victim_witness_support,prevention,non_state_actors,criminality_avg,criminal_markets_avg,cyber_dependent_crimes,financial_crimes,counterfeit_goods_trade,illicit_trade_excisable_goods,extortion_protection_racketeering,criminal_actors_avg,private_sector_actors,resilience_avg
Asia,Western Asia,Turkey,2021,6.89,6.4,7.0,9.0,9.0,4.0,3.0,9.5,8.0,4.0,5.0,5.5,7.38,8.0,7.5,9.0,5.0,3.54,3.0,3.0,3.5,4.5,2.0,3.0,6.5,2.0,4.0,4.0,3.5,3.5,,,,,,,,,,
Africa,West Africa,Cabo Verde,2021,4.04,3.7,4.5,2.0,2.5,2.5,4.0,1.0,4.0,7.0,5.0,4.5,4.38,2.5,4.0,4.0,7.0,6.33,6.5,6.0,8.5,7.0,7.0,6.0,7.5,5.0,6.0,3.5,6.0,7.0,,,,,,,,,,
Africa,Southern Africa,South Africa,2021,6.63,6.0,4.5,4.0,8.0,3.5,7.5,7.5,7.5,5.5,3.5,8.5,7.25,7.0,7.0,7.5,7.5,5.79,6.0,5.5,6.5,6.5,6.0,5.0,6.0,6.0,6.0,4.0,5.0,7.0,,,,,,,,,,
Americas,South America,Colombia,2021,7.66,7.2,7.5,7.0,8.0,6.0,7.0,9.0,5.0,9.5,8.0,5.0,8.13,9.5,9.0,7.0,7.0,5.83,7.0,5.5,9.0,7.0,5.5,6.0,4.5,6.0,5.0,3.5,4.5,6.5,,,,,,,,,,
Americas,South America,Peru,2021,6.35,6.2,7.0,6.0,5.5,7.0,5.5,9.0,3.5,9.0,5.5,4.0,6.5,6.0,8.0,7.0,5.0,4.58,3.0,5.5,5.0,6.0,6.0,5.0,5.0,4.5,4.0,3.5,3.0,4.5,,,,,,,,,,
Asia,Western Asia,Iraq,2021,7.05,6.35,8.0,8.5,9.0,1.5,4.5,9.0,6.0,5.0,6.0,6.0,7.75,6.5,7.5,8.0,9.0,3.79,4.5,3.0,4.0,4.0,4.0,3.5,3.5,4.0,3.5,3.0,4.0,4.5,,,,,,,,,,
Americas,South America,Suriname,2021,4.9,4.55,4.0,4.0,5.5,5.0,3.5,9.0,1.5,8.5,2.5,2.0,5.25,2.5,5.0,8.0,5.5,2.25,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.5,2.0,2.5,4.0,,,,,,,,,,
Americas,South America,Venezuela,2021,6.64,5.65,7.5,7.5,8.0,2.5,2.5,9.0,2.0,9.0,7.0,1.5,7.63,9.5,5.0,9.0,7.0,1.92,2.0,1.5,1.5,2.0,1.5,1.5,3.5,1.5,1.0,1.0,2.0,4.0,,,,,,,,,,
Africa,Southern Africa,Mauritius,2021,4.51,4.4,4.5,3.5,2.0,2.0,3.0,4.0,8.0,3.5,5.5,8.0,4.63,2.0,6.0,6.0,4.5,5.67,6.0,6.0,6.5,6.0,5.5,5.5,5.5,3.5,7.0,5.5,5.0,6.0,,,,,,,,,,
Africa,Southern Africa,Botswana,2021,3.71,3.8,4.5,3.0,3.0,2.0,7.5,3.5,3.5,3.5,4.0,3.5,3.63,1.0,5.5,3.0,5.0,5.63,6.0,5.0,8.0,6.0,6.5,5.0,5.0,4.5,5.5,5.5,4.5,6.0,,,,,,,,,,
Asia,Western Asia,Iran,2021,7.1,6.95,7.5,8.0,8.0,4.5,4.0,8.5,9.0,5.5,6.0,8.5,7.25,7.0,7.5,9.5,5.0,3.5,3.0,2.5,4.5,4.0,3.5,3.5,5.5,2.5,3.0,4.0,3.0,3.0,,,,,,,,,,
Americas,South America,Guyana,2021,5.1,4.7,5.5,4.0,5.0,4.5,3.5,8.5,2.5,8.0,3.0,2.5,5.5,3.0,5.0,8.0,6.0,4.29,5.0,3.0,5.0,3.0,4.0,2.5,5.0,4.0,5.0,5.0,5.0,5.0,,,,,,,,,,
Africa,West Africa,Senegal,2021,4.81,5.0,5.0,5.0,4.5,7.5,7.0,3.5,2.5,6.5,6.0,2.5,4.63,2.5,5.5,4.5,6.0,5.58,5.5,4.0,6.0,6.5,5.0,6.0,6.5,5.0,5.5,5.0,5.0,7.0,,,,,,,,,,
Americas,South America,Brazil,2021,6.5,6.5,5.0,4.0,8.0,8.5,8.5,8.0,2.0,9.0,8.0,4.0,6.5,7.5,6.5,8.5,3.5,5.04,3.0,4.5,7.5,4.5,3.0,5.0,5.5,6.0,6.0,5.0,4.0,6.5,,,,,,,,,,
Asia,South-Eastern Asia,Cambodia,2021,5.83,6.15,7.5,6.5,5.0,8.0,8.0,8.0,4.0,2.5,4.5,7.5,5.5,2.5,4.0,8.5,7.0,3.92,4.5,3.5,5.0,4.5,4.0,4.5,4.5,4.0,4.0,3.0,3.0,2.5,,,,,,,,,,
Africa,West Africa,Nigeria,2021,7.15,7.05,7.5,6.0,8.0,6.0,6.5,8.0,6.0,6.5,8.0,8.0,7.25,5.5,9.0,7.5,7.0,5.5,5.5,5.0,7.0,7.0,4.5,4.5,4.5,5.0,6.5,5.0,5.0,6.5,,,,,,,,,,
Asia,South-Eastern Asia,Philippines,2021,6.84,6.3,7.0,5.0,7.5,7.0,7.5,8.0,4.0,3.5,4.5,9.0,7.38,8.0,6.0,8.0,7.5,4.13,3.0,3.0,5.0,5.0,4.5,2.0,4.0,5.0,6.0,5.0,4.0,3.0,,,,,,,,,,
Africa,Central Africa,Rwanda,2021,3.68,4.1,5.0,2.5,5.0,3.0,5.0,8.0,3.0,2.5,4.0,3.0,3.25,1.0,3.0,5.0,4.0,5.5,5.5,5.5,5.0,6.0,5.0,7.0,6.0,6.0,6.0,5.5,5.0,3.5,,,,,,,,,,
Africa,West Africa,Ghana,2021,6.01,6.15,6.5,5.0,5.0,6.5,6.0,7.5,6.0,6.5,5.5,7.0,5.88,3.0,6.5,7.5,6.5,5.38,5.5,5.5,6.5,5.0,5.0,4.5,6.0,6.0,6.0,3.5,4.0,7.0,,,,,,,,,,
Africa,East Africa,Ethiopia,2021,4.79,4.95,6.0,6.5,7.0,3.5,5.5,5.5,3.0,4.0,5.5,3.0,4.63,2.0,6.5,4.0,6.0,5.38,5.0,5.0,6.0,6.0,5.0,4.0,6.0,7.0,6.0,4.5,5.0,5.0,,,,,,,,,,
Americas,South America,Bolivia,2021,4.3,4.6,5.0,2.0,4.0,7.0,5.0,8.0,2.0,8.5,2.5,2.0,4.0,3.5,2.0,6.0,4.5,4.88,5.0,4.0,5.0,6.0,3.5,5.0,5.0,4.5,5.0,5.0,6.0,4.5,,,,,,,,,,
Africa,East Africa,Kenya,2021,6.95,6.65,7.5,7.0,7.5,6.0,7.0,7.0,7.5,6.0,6.5,4.5,7.25,7.0,7.5,8.0,6.5,5.21,5.0,4.5,7.0,6.0,5.5,4.5,6.0,6.0,5.0,3.0,3.5,6.5,,,,,,,,,,
Asia,Southern Asia,Afghanistan,2021,7.08,6.9,8.5,8.0,8.5,6.0,4.0,8.0,9.5,1.0,7.0,8.5,7.25,7.5,8.5,9.0,4.0,2.67,3.0,2.5,3.0,3.0,2.0,3.0,3.0,3.0,3.5,2.0,2.0,2.0,,,,,,,,,,
Asia,South-Eastern Asia,Indonesia,2021,6.38,6.0,6.5,6.0,4.5,7.5,8.0,7.5,3.5,4.0,6.5,6.0,6.75,6.0,7.5,7.5,6.0,4.33,4.0,3.5,5.5,5.0,3.5,4.0,4.0,4.5,4.5,5.0,4.5,4.0,,,,,,,,,,
Africa,West Africa,Gambia,2021,4.83,5.15,7.0,5.0,2.5,7.0,3.5,4.5,4.5,6.5,7.0,4.0,4.5,1.0,6.5,6.5,4.0,5.0,5.0,5.0,4.5,5.0,5.0,5.5,6.5,5.5,5.5,2.5,3.5,6.5,,,,,,,,,,
Africa,Southern Africa,Namibia,2021,4.33,3.9,3.5,2.5,3.0,6.5,4.5,4.0,3.0,4.5,3.0,4.5,4.75,3.0,5.0,5.0,6.0,4.96,5.0,5.0,7.0,6.5,4.5,4.5,3.5,4.5,5.0,4.0,4.0,6.0,,,,,,,,,,
Americas,Central America,Mexico,2021,7.56,8.0,7.5,8.5,8.0,7.5,7.0,7.5,8.0,9.0,8.0,9.0,7.13,9.0,9.0,7.0,3.5,4.46,3.0,4.0,7.0,6.0,4.0,5.0,3.0,4.0,5.0,3.5,4.0,5.0,,,,,,,,,,
Africa,Central Africa,Sao Tome and Principe,2021,1.78,1.8,1.5,1.5,2.0,2.5,2.0,1.0,2.0,2.0,2.5,1.0,1.75,1.0,2.0,2.0,2.0,4.92,6.0,5.0,7.0,7.0,6.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,,,,,,,,,,
Africa,North Africa,Tunisia,2021,3.79,4.2,4.0,7.0,5.0,3.5,3.5,5.0,2.0,3.0,5.0,4.0,3.38,1.0,4.0,5.5,3.0,4.83,4.5,5.0,5.0,6.5,4.5,4.5,5.5,5.5,4.0,4.5,3.0,5.5,,,,,,,,,,
Africa,North Africa,Algeria,2021,4.51,4.65,4.5,6.5,5.0,2.0,4.5,6.5,2.0,3.5,6.5,5.5,4.38,1.0,5.0,7.0,4.5,4.63,4.5,4.0,5.0,6.0,4.0,6.0,6.5,4.5,4.5,3.0,4.0,3.5,,,,,,,,,,
Africa,North Africa,Morocco,2021,4.79,4.95,5.5,6.5,3.0,3.0,4.5,3.0,3.0,6.0,9.0,6.0,4.63,1.0,6.5,7.0,4.0,4.63,4.5,3.5,6.0,6.0,4.0,5.5,6.0,3.5,4.5,4.5,4.0,3.5,,,,,,,,,,
Africa,Southern Africa,Seychelles,2021,3.68,3.6,4.0,3.5,3.5,4.0,4.0,1.0,7.5,3.0,3.0,2.5,3.75,2.0,4.5,4.5,4.0,4.58,5.0,5.0,6.0,5.5,6.0,4.0,4.5,3.0,3.0,4.0,5.0,4.0,,,,,,,,,,
Africa,East Africa,Djibouti,2021,3.99,3.6,6.0,7.0,6.0,2.0,4.0,2.0,2.5,1.5,3.5,1.5,4.38,1.5,5.0,5.0,6.0,4.5,4.5,3.0,6.5,5.5,4.0,4.0,6.0,5.0,5.5,3.0,4.0,3.0,,,,,,,,,,
Asia,Southern Asia,India,2021,5.53,6.3,7.0,6.0,5.5,5.5,8.0,7.0,6.5,3.5,7.5,6.5,4.75,3.5,6.0,6.0,3.5,5.25,4.0,5.5,7.5,4.5,5.0,5.5,6.5,6.0,5.0,3.5,5.0,5.0,,,,,,,,,,
Africa,Central Africa,Angola,2021,5.29,5.2,6.0,4.0,6.0,7.0,4.5,8.5,3.0,6.0,4.5,2.5,5.38,3.0,5.5,8.0,5.0,4.42,5.0,4.5,5.0,5.0,3.5,4.5,6.0,5.0,4.0,4.0,3.5,3.0,,,,,,,,,,
Asia,Western Asia,Saudi Arabia,2021,6.01,6.9,8.5,7.5,8.0,5.0,7.0,7.0,6.5,5.5,6.5,7.5,5.13,3.0,6.5,8.0,3.0,4.29,3.0,3.5,5.0,4.5,3.0,4.5,5.0,5.5,5.0,4.5,5.0,3.0,,,,,,,,,,
Africa,West Africa,C̫te d'Ivoire,2021,6.15,6.05,6.5,6.5,7.0,6.0,6.5,7.5,3.5,5.0,6.0,6.0,6.25,3.0,7.0,7.0,8.0,4.42,4.5,4.0,6.0,4.5,5.5,5.0,4.0,5.0,3.5,3.5,3.0,4.5,,,,,,,,,,
Europe,Western Europe,Switzerland,2021,4.34,4.3,5.0,3.0,6.5,1.5,3.0,7.0,2.5,5.5,5.5,3.5,4.38,4.5,4.0,1.5,7.5,7.13,9.0,6.5,7.5,6.5,7.0,7.5,8.5,5.0,6.0,8.0,6.0,8.0,,,,,,,,,,
Asia,Western Asia,Yemen,2021,6.13,5.0,8.5,7.5,9.0,2.5,4.0,7.0,2.5,2.0,3.0,4.0,7.25,8.0,7.0,6.0,8.0,2.0,2.0,2.0,3.0,2.0,1.5,2.0,2.0,2.0,2.5,1.0,2.0,2.0,,,,,,,,,,
Asia,Central Asia and the Caucasus,Tajikistan,2021,5.61,5.1,6.5,6.0,4.0,2.5,3.5,7.0,8.5,2.0,6.0,5.0,6.13,5.5,5.0,9.0,5.0,2.67,3.0,2.0,3.0,2.0,3.0,3.0,2.5,3.5,3.0,2.0,3.0,2.0,,,,,,,,,,
Africa,Southern Africa,Zambia,2021,4.93,4.6,5.0,3.0,4.0,8.0,4.5,5.5,4.0,3.0,5.0,4.0,5.25,3.0,5.0,6.0,7.0,4.33,4.0,3.0,5.0,6.5,5.0,4.0,3.5,5.0,5.0,3.0,3.0,5.0,,,,,,,,,,
Asia,Western Asia,Syria,2021,6.84,6.05,8.5,8.5,9.0,1.5,3.5,7.0,3.0,2.5,7.5,9.5,7.63,4.5,9.0,10.0,7.0,1.88,2.0,1.0,3.0,2.0,1.5,2.0,1.5,2.0,2.5,2.0,2.0,1.0,,,,,,,,,,
Asia,Central Asia and the Caucasus,Turkmenistan,2021,4.61,4.35,8.5,5.0,2.0,2.0,3.0,7.0,6.5,1.5,4.0,4.0,4.88,3.0,3.5,8.5,4.5,2.17,2.0,1.5,1.5,2.5,2.0,2.0,2.0,3.5,2.0,2.0,2.0,3.0,,,,,,,,,,
Europe,Western Europe,Ireland,2021,4.9,4.55,4.5,4.0,4.0,2.0,4.0,5.0,5.5,6.5,5.0,5.0,5.25,6.0,5.5,3.0,6.5,7.38,7.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,5.5,7.0,,,,,,,,,,
Asia,Eastern Asia,"Korea, DPR",2021,4.78,5.3,8.0,6.5,9.0,1.0,3.0,7.0,3.5,2.0,6.0,7.0,4.25,1.0,2.0,10.0,4.0,1.96,3.5,1.0,2.0,2.0,1.5,1.5,6.0,1.0,1.5,1.0,1.0,1.5,,,,,,,,,,
Africa,Southern Africa,Malawi,2021,3.83,4.15,4.5,3.5,4.5,4.0,6.0,4.0,4.5,2.5,6.0,2.0,3.5,2.0,3.0,4.0,5.0,4.29,5.0,4.5,4.5,5.5,4.0,4.0,3.0,6.0,4.0,2.0,3.5,5.5,,,,,,,,,,
Asia,South-Eastern Asia,Myanmar,2021,7.59,7.05,6.5,7.5,8.0,7.0,8.0,6.5,9.5,3.5,4.5,9.5,8.13,9.0,7.5,8.5,7.5,3.42,3.0,3.0,5.0,4.5,3.5,4.0,3.0,3.0,3.0,2.0,3.0,4.0,,,,,,,,,,
Asia,Southern Asia,Nepal,2021,6.16,5.7,7.0,6.5,6.0,7.0,7.0,6.5,4.5,3.5,5.0,4.0,6.63,4.5,6.5,8.5,7.0,3.71,2.5,2.0,4.5,3.5,3.0,4.5,4.0,3.0,4.5,4.5,3.5,5.0,,,,,,,,,,
Africa,East Africa,Tanzania,2021,6.15,6.55,6.5,6.5,5.5,7.5,8.0,6.5,7.5,5.0,7.0,5.5,5.75,3.0,7.0,7.0,6.0,4.04,5.5,2.0,4.0,5.5,5.0,4.0,4.5,5.5,5.0,3.0,3.0,1.5,,,,,,,,,,
Americas,South America,Ecuador,2021,6.25,6.0,6.0,5.5,7.5,6.0,6.0,6.5,6.0,7.0,4.0,5.5,6.5,6.5,5.5,6.5,7.5,5.71,5.0,5.5,6.0,6.5,5.5,6.0,4.5,7.0,5.5,5.0,5.0,7.0,,,,,,,,,,
Africa,North Africa,Egypt,2021,5.16,4.95,5.5,5.5,7.0,1.0,5.0,4.0,5.5,2.0,7.0,7.0,5.38,3.0,5.5,8.0,5.0,4.04,3.5,3.0,4.5,4.5,3.5,5.0,6.0,6.0,4.5,3.0,2.5,2.5,,,,,,,,,,
Americas,Central America,Costa Rica,2021,4.99,4.85,5.0,5.0,5.0,5.0,6.0,6.5,1.0,7.0,4.5,3.5,5.13,6.5,6.0,1.5,6.5,5.5,7.0,6.5,6.0,6.5,5.0,5.0,5.0,4.0,4.5,5.0,5.0,6.5,,,,,,,,,,
Africa,West Africa,Togo,2021,5.33,4.9,6.0,3.5,4.0,5.0,6.0,6.0,3.0,5.0,6.5,4.0,5.75,1.0,7.0,7.5,7.5,4.0,3.0,3.0,5.5,4.5,3.5,4.0,4.0,3.0,4.5,4.5,4.0,4.5,,,,,,,,,,
Asia,Western Asia,Bahrain,2021,4.83,5.65,7.5,5.5,5.5,4.0,6.0,6.5,5.0,4.0,6.0,6.5,4.0,1.0,6.0,4.0,5.0,5.54,6.0,5.0,7.0,5.5,5.0,5.0,6.5,5.5,6.0,5.5,5.5,4.0,,,,,,,,,,
Africa,East Africa,Uganda,2021,6.14,5.65,7.0,5.0,6.5,6.0,6.5,7.0,5.0,3.5,6.0,4.0,6.63,5.0,7.0,7.5,7.0,3.96,5.0,2.0,5.0,5.0,4.0,4.0,5.5,3.0,3.5,2.0,4.0,4.5,,,,,,,,,,
Asia,Central Asia and the Caucasus,Uzbekistan,2021,4.96,4.55,7.5,6.0,3.0,3.0,3.5,6.5,6.5,1.5,4.0,4.0,5.38,5.0,4.5,7.0,5.0,3.79,3.0,3.0,4.0,4.0,3.0,3.5,4.5,3.5,4.5,4.0,5.0,3.5,,,,,,,,,,
Asia,South-Eastern Asia,Vietnam,2021,6.28,6.05,6.5,7.0,4.0,6.5,8.5,6.0,7.0,4.0,4.5,6.5,6.5,6.0,7.0,7.0,6.0,4.67,5.0,4.5,5.5,5.5,4.0,4.5,5.0,5.5,5.0,5.0,4.5,2.0,,,,,,,,,,
Asia,South-Eastern Asia,Thailand,2021,5.76,6.4,6.5,7.0,5.5,6.5,8.0,6.0,7.5,4.0,5.0,8.0,5.13,1.5,5.0,6.5,7.5,4.67,5.0,4.5,6.0,5.5,4.0,5.0,4.0,4.5,4.5,4.5,5.0,3.5,,,,,,,,,,
Americas,Central America,Panama,2021,6.68,6.35,8.0,5.5,6.5,6.0,8.0,6.0,5.0,8.5,5.0,5.0,7.0,7.5,7.0,7.5,6.0,4.83,4.5,4.0,6.0,6.0,3.0,4.5,6.0,4.5,6.0,4.0,4.0,5.5,,,,,,,,,,
Asia,Western Asia,United Arab Emirates,2021,5.75,6.75,8.5,6.5,6.5,5.5,7.5,6.0,7.0,6.0,6.5,7.5,4.75,1.0,6.0,6.0,6.0,5.33,5.5,5.0,5.5,5.5,5.5,6.0,5.5,4.0,5.5,6.5,6.5,3.0,,,,,,,,,,
Americas,Central America,Nicaragua,2021,6.06,5.5,6.0,5.5,6.0,6.0,6.0,6.0,2.5,7.5,6.0,3.5,6.63,5.0,6.5,9.0,6.0,2.46,2.0,1.0,2.5,3.5,2.5,3.0,2.5,3.0,2.0,2.0,3.5,2.0,,,,,,,,,,
Asia,Western Asia,Kuwait,2021,5.14,6.15,8.0,6.5,6.5,5.5,6.0,6.0,5.0,4.5,6.5,7.0,4.13,1.0,6.0,6.0,3.5,5.54,5.0,4.5,6.0,5.5,5.5,6.0,5.5,5.5,6.5,5.5,5.5,5.5,,,,,,,,,,
Africa,Southern Africa,Lesotho,2021,3.9,3.55,4.0,3.0,3.0,1.0,2.5,5.5,3.5,5.5,4.5,3.0,4.25,1.0,5.0,6.0,5.0,3.67,4.0,3.5,6.0,5.5,3.0,3.0,2.5,5.0,3.0,2.5,2.0,4.0,,,,,,,,,,
Africa,West Africa,Burkina Faso,2021,5.49,5.35,6.0,4.0,8.0,4.0,6.0,8.5,4.0,4.0,3.0,6.0,5.63,3.5,6.5,6.5,6.0,3.63,3.5,4.0,5.5,5.0,4.0,3.0,3.0,3.0,3.0,2.5,2.0,5.0,,,,,,,,,,
Americas,Caribbean,Haiti,2021,5.73,5.45,6.5,6.5,5.5,6.5,4.0,6.0,2.0,8.0,6.0,3.5,6.0,8.0,6.0,7.0,3.0,2.67,2.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,1.5,3.0,4.5,,,,,,,,,,
Asia,Central Asia and the Caucasus,Azerbaijan,2021,5.08,4.15,4.5,3.0,3.0,3.5,3.5,6.0,6.0,3.0,5.0,4.0,6.0,5.5,5.5,7.5,5.5,4.08,3.5,3.5,5.5,4.0,2.5,4.0,5.0,4.5,4.0,4.0,5.0,3.5,,,,,,,,,,
Asia,South-Eastern Asia,Malaysia,2021,5.94,6.25,6.5,7.0,5.5,6.0,8.0,5.5,6.5,5.0,5.0,7.5,5.63,4.5,5.5,6.0,6.5,5.83,4.5,5.5,7.0,7.0,5.0,5.5,5.5,5.5,7.0,6.0,6.0,5.5,,,,,,,,,,
Africa,West Africa,Benin,2021,5.25,5.25,6.0,4.0,5.5,6.0,5.5,5.0,4.5,6.0,4.0,6.0,5.25,1.0,6.0,6.0,8.0,3.54,4.0,4.5,4.0,3.0,3.0,4.0,3.5,3.0,4.0,3.0,2.0,4.5,,,,,,,,,,
Oceania,Melanesia,Papua New Guinea,2021,5.44,5.0,7.0,4.0,5.5,8.0,5.0,5.5,1.0,4.0,5.5,4.5,5.88,1.0,8.0,8.0,6.5,3.42,3.0,2.0,4.5,5.0,4.5,3.0,3.0,4.5,3.0,3.0,2.5,3.0,,,,,,,,,,
Asia,Western Asia,Oman,2021,4.14,4.9,6.0,4.0,5.0,5.0,5.0,5.5,5.0,3.0,4.5,6.0,3.38,1.0,5.0,4.0,3.5,5.25,4.5,4.5,6.5,6.5,5.5,7.5,5.5,5.0,4.5,4.0,4.0,5.0,,,,,,,,,,
Asia,Southern Asia,Pakistan,2021,6.28,6.3,8.0,7.0,8.0,4.5,5.0,5.5,8.5,3.0,7.0,6.5,6.25,6.0,7.5,7.0,4.5,4.0,3.5,3.5,5.0,5.0,3.0,4.0,4.0,4.0,4.0,3.5,4.0,4.5,,,,,,,,,,
Africa,West Africa,Sierra Leone,2021,5.4,5.05,5.0,4.0,3.5,6.5,6.5,6.5,2.0,4.5,7.0,5.0,5.75,3.5,5.5,7.0,7.0,3.46,3.5,3.5,4.0,2.5,2.0,4.0,4.0,3.5,3.0,2.5,4.0,5.0,,,,,,,,,,
Europe,Western Europe,France,2021,5.66,5.7,6.0,6.5,6.0,4.0,5.5,4.5,6.0,6.5,6.5,5.5,5.63,6.0,6.5,3.0,7.0,6.83,6.0,7.0,8.5,7.5,6.5,7.0,5.0,8.0,8.0,5.0,6.5,7.0,,,,,,,,,,
Europe,Western Europe,Netherlands,2021,4.69,5.0,5.5,4.5,5.0,3.0,4.0,4.0,4.0,7.0,5.5,7.5,4.38,4.5,6.0,2.5,4.5,7.42,7.5,8.0,8.0,7.5,7.5,7.5,6.0,6.5,6.5,8.0,8.0,8.0,,,,,,,,,,
Asia,Central Asia and the Caucasus,Kyrgyzstan,2021,5.33,4.4,6.5,4.5,3.0,2.0,3.5,5.5,7.0,2.0,5.5,4.5,6.25,5.5,6.5,8.5,4.5,4.17,3.5,3.0,4.5,5.0,3.0,3.5,4.5,3.0,5.0,4.5,5.0,5.5,,,,,,,,,,
Europe,Western Europe,Andorra,2021,2.96,2.55,2.5,3.0,3.0,1.0,1.0,3.5,2.0,3.5,4.5,1.5,3.38,1.0,4.0,1.5,7.0,7.75,7.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.5,8.0,8.5,,,,,,,,,,
Africa,Southern Africa,Madagascar,2021,5.59,5.3,6.0,3.0,4.5,7.5,7.0,7.5,7.0,2.5,6.0,2.0,5.88,4.0,5.0,7.5,7.0,3.38,4.0,2.0,3.0,4.0,3.0,3.5,5.0,5.0,2.0,2.0,4.0,3.0,,,,,,,,,,
Asia,Western Asia,Israel,2021,4.41,4.2,5.5,2.5,5.5,1.5,2.0,5.5,3.0,4.5,6.5,5.5,4.63,5.5,4.0,5.0,4.0,6.0,6.0,5.0,6.0,7.0,5.0,5.5,3.5,7.0,7.0,6.0,6.0,8.0,,,,,,,,,,
